S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,F0.01,F0.02,F0.03,F0.04,F0.05,F0.06,F0.07,F0.08,F0.09,F0.10,F0.11,F0.12,F0.13,F0.14,F0.15
2,0,1,5.4,5.4,600,600,300,300,0.7,0.6,0.7,0.6,456,28,296.1672506,455.4684331,519.8088316,543.846129,548.3998245,544.3332227,535.9678451,525.5052201,514.8416519,503.9211791,493.1430082,483.2986998,474.9427514,468.8756414,465.1439254
2,0,1,1.225,1.225,300,300,150,150,1.13,1.13,1.13,1.13,340,30.81,132.7882516,212.0556242,267.5391858,310.7192478,344.1482879,368.2896448,386.0286634,397.4523402,398.688557,388.567196,380.8722093,376.3114317,372.4702885,369.6318019,367.1442651
1,0,2,2.22,2.22,180,180,100,100,1.463474839,0.975649892,1.463474839,0.975649892,507,32,7.000313421,13.84054784,18.52476877,21.91391838,24.30369964,25.96617678,27.1317203,27.9721363,28.64138495,29.22320524,29.74205708,30.23729993,30.71798618,31.18641561,31.64969474
2,1,3,1.3,1.3,180,180,80,80,0.969919419,0.757010278,0.969919419,0.757010278,367,30.415,30.21,36.65,40.27,42.13,42.85,43.12,43.25,43.74,44.39,45.07,45.81,46.65,47.58,48.59,49.67627471
2,0,1,5.4,5.4,600,600,300,300,0.7,0.47,0.7,0.47,456,28,326.1059359,463.3790094,508.9411252,523.1061385,523.1293491,515.5385333,504.7384026,492.5472043,480.094828,468.4242934,457.1964923,446.9087238,437.9675102,431.3605674,427.1019922
2,0,2,7.47,7.47,508,508,457,457,1.14731068,0.382436893,1.14731068,0.382436893,414,34.5,151.4260244,261.5258075,313.2637505,333.4487468,336.0110267,333.7848241,331.3692553,330.647622,330.6831004,331.0245855,332.8227245,337.0427756,344.4554126,355.1905375,369.8368316
2,0,3,1.65,1.65,140,140,90,90,1.4,1.4,1.4,1.4,515,33.8,26.99975447,45.86009312,57.57483979,62.9808113,64.71851011,64.91181528,64.36437389,63.39624996,62.378555,61.49561582,60.88281903,60.44695131,60.15987318,59.98162722,59.8135403
2,0,2,2.9,2.9,320,320,150,150,0.720177965,0.720177965,0.720177965,0.720177965,444.3,24.2,58.29798238,84.74217817,96.21105171,102.1760024,104.9592239,106.5393706,107.536839,108.0755607,108.1406475,108.1137549,107.9066133,107.6323518,107.5463447,107.9125435,108.8142407
2,0,2,2.75,2.75,250,250,150,150,1.24,0.82,1.24,0.82,488,27.54,36.37141886,54.68876943,66.60095234,71.74369802,73.54654363,72.26399823,70.4240121,68.91257046,67.98770698,67.74314601,68.17094433,69.18428099,70.85524912,71.63853982,72.85348701
2,0,2,1.5,1.5,140,140,80,80,1.570796327,1.570796327,1.570796327,1.570796327,437,23.3,31.49157255,47.28429143,54.02953856,56.88356824,58.08917891,58.65606224,58.95828783,58.97936138,58.9626915,59.09429722,59.4773734,60.07044873,60.89666886,62.02844565,63.43640194
1,1,3,1.6,1.6,200,200,100,100,0.558505361,0.959671916,0.558505361,0.959671916,491.6,31.837,29.50918928,42.1764935,48.70996135,52.78024695,55.57467049,57.6163119,59.04704798,60.27675498,61.23213421,62.04509439,62.54425232,62.77341101,62.73327331,62.47378844,62.03689259
2,0,3,1.85,1.85,300,300,150,150,0.5,0.7,0.5,0.7,351,25.28,40.59654743,50.91012393,53.84219443,55.03074858,55.8775025,55.83977284,55.65829541,55.35639384,54.96607291,54.53435476,54.22953593,54.07640464,54.00396437,54.06189213,54.61555131
2,0,3,3.9,3.9,350,350,200,200,0.733038286,0.733038286,0.733038286,0.733038286,455,30.02,40.5803908,67.82370164,80.3813355,86.82004336,89.10742894,89.40386619,88.75069898,88.38048446,88.75955502,89.04511918,89.64366883,91.01940339,92.81759101,94.82022541,97.22198839
2,0,3,2.035,2.035,175,175,150,150,0.702817148,0.702817148,0.702817148,0.702817148,457,27,8.637752008,16.5579698,20.91913505,23.90642832,26.19293641,27.92269936,29.21010238,30.1634358,30.98650327,31.7863177,32.75532918,33.82539793,35.07844604,36.54133728,37.95410863
2,0,3,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,526,37.3,173.5186467,263.2979704,317.3081193,350.2426688,370.8155023,385.1171074,395.0698008,401.5294119,405.8176342,406.7136564,399.3080984,388.4223573,377.9288645,368.0147866,358.0492997
2,0,3,1.8,1.8,200,200,200,200,0.282390351,0.282390351,0.282390351,0.282390351,588,57.3,64.43705783,83.03555434,90.1227144,93.4988581,95.14589508,95.70053026,95.44973912,94.53500555,93.29285236,92.11825375,90.65330037,89.18522668,87.79851759,86.54426032,85.46011968
