S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,Fcca
2,0,2,1.6,1.6,250,250,200,200,0.61,0.61,0.61,0.61,360,22.2,115.1857233
2,0,2,1.6,1.6,250,250,200,200,1.21,0.61,1.21,0.61,360,22.2,165.1194
2,0,2,2.9,2.9,320,320,150,150,0.720177965,0.720177965,0.720177965,0.720177965,444.3,24.2,121.130733
2,0,1,1.9,1.9,170,170,85,85,1.13722811,0.758152073,1.13722811,0.758152073,292,27.65,55.60754165
2,0,3,1.65,1.65,140,140,90,90,1.4,1.4,1.4,1.4,515,33.8,82.32854937
2,0,3,10.82,10.82,508,508,457,457,2.023946008,0.288564182,2.023946008,0.288564182,416.7,34.5,264.8341
2,0,3,3.9,3.9,350,350,200,200,0.733038286,0.733038286,0.733038286,0.733038286,455,30.02,106.6636
2,0,3,2.9,2.9,320,320,150,150,0.720177965,0.720177965,0.720177965,0.720177965,444.3,24.2,108.0042687
2,0,2,2.75,2.75,250,250,150,150,1.24,0.655,1.24,0.655,511,38.2,108.5368802
2,0,3,2.467,2.467,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,416,19.75,49.86
2,0,3,5.4,5.4,508,508,711,711,0.65,0.41,0.65,0.41,476,32.4,575.5544791
2,0,2,2.22,2.22,180,180,100,100,1.52,1.01,1.52,1.01,554,46.6,57.44
2,0,2,1.3,1.3,140,140,80,80,1.7,1.7,1.7,1.7,437,61,88.14805081
2,0,2,2.75,2.75,250,250,150,150,0.717258597,0.478172398,0.717258597,0.478172398,510,21.172,67.99230668
2,0,3,2.4,2.4,250,250,150,150,1.380610224,0.676217253,1.380610224,0.676217253,435,35.1,109.19164
0,1,1,1.8,1.8,180,180,90,90,1.606131213,1.070754142,1.606131213,1.070754142,481,29.3643,27.7
2,0,2,1.3,1.3,140,140,80,80,2.8,2.8,2.8,2.8,437,31.6,91.76
0,1,1,2.694,2.694,305,305,76,76,1.284174629,1.284174629,1.284174629,1.284174629,465,43.4,50.14
2,0,1,5.4,5.4,600,600,300,300,0.7,0.76,0.7,0.76,456,28,702.0032198
2,0,2,3.6,3.6,300,300,200,200,0.883572934,1.503,0.883572934,1.503,460,27.8,99.7053
2,0,3,1.5625,1.5625,185,185,150,150,0.67999841,0.67999841,0.67999841,0.67999841,493,17,40.98660807
2,0,3,1.8,1.8,200,200,100,100,1.292540977,1.292540977,1.292540977,1.292540977,405,19.75,74.10087547
1,1,3,1.6,1.6,200,200,100,100,0.558505361,0.959671916,0.558505361,0.959671916,491.6,31.837,68.35
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,350,30,354.4239725
2,0,2,1.6,1.6,250,250,200,200,1.21,1.21,1.21,1.21,360,22.2,218.1177431
2,0,3,1.9,1.9,170,170,85,85,0.983997699,1.535996408,0.983997699,1.535996408,346,34.049,41.34541748
0,1,1,1.8,1.8,180,180,90,90,1.027923977,0.685282651,1.027923977,0.685282651,481,29.3643,24
2,0,1,5.4,5.4,600,600,300,300,0.7,0.47,0.7,0.47,456,32,657.65446
2,0,3,1.85,1.85,300,300,150,150,0.5,0.7,0.5,0.7,445,25.28,80.3940236
2,1,2,1.5,1.3,140,140,80,80,2,2,2,2,437,23.3,122.4843751
